date,organic,store,manufacturer,CAD,quantity,unit
2015-11-18,yes,Crepuscule web,Ferme La Crepuscule,7.49,12,jumbo
2015-11-18,yes,Crepuscule web,Ferme La Crepuscule,6.99,12,gros
2015-11-18,yes,Crepuscule web,Ferme La Crepuscule,6.49,12,moyen
2015-11-18,yes,Crepuscule web,Ferme La Crepuscule,5.99,12,petit
